- Storing feat: floor_space, resolution: 10km, category: 140bis149 (13) 
- Storing feat: floor_space, resolution: 10km, category: 150bis159 (14) 
- Storing feat: floor_space, resolution: 10km, category: 160bis169 (15) 
- Storing feat: floor_space, resolution: 10km, category: 170bis179 (16) 
- Storing feat: floor_space, resolution: 10km, category: 180undmehr (17) 
- Storing feat: dwelling_rooms, resolution: 10km, category: 1Raum (1) 
- Storing feat: dwelling_rooms, resolution: 10km, category: 2Raeume (2) 
- Storing feat: dwelling_rooms, resolution: 10km, category: 3Raeume (3) 
- Storing feat: dwelling_rooms, resolution: 10km, category: 4Raeume (4) 
- Storing feat: dwelling_rooms, resolution: 10km, category: 5Raeume (5) 
- Storing feat: dwelling_rooms, resolution: 10km, category: 6Raeume (6) 
- Storing feat: dwelling_rooms, resolution: 10km, category: 7undmehrRaeume (7) 
- Storing feat: dwelling_building_size, resolution: 10km, category: FreiEFH (1) 
- Storing feat: dwelling_building_size, resolution: 10km, category: EFH_DHH (2) 
