- Storing feat: building_constr_year, resolution: 100m, category: Vor1919 (1) 
- Storing feat: building_constr_year, resolution: 100m, category: a1919bis1948 (2) 
- Storing feat: building_constr_year, resolution: 100m, category: a1949bis1978 (3) 
- Storing feat: building_constr_year, resolution: 100m, category: a1979bis1990 (4) 
- Storing feat: building_constr_year, resolution: 100m, category: a1991bis2000 (5) 
- Storing feat: building_constr_year, resolution: 100m, category: a2001bis2010 (6) 
- Storing feat: building_constr_year, resolution: 100m, category: a2011bis2019 (7) 
- Storing feat: building_constr_year, resolution: 100m, category: a2020undspaeter (8) 
- Storing feat: building_dwellings, resolution: 100m, category: 1_Wohnung (1) 
- Storing feat: building_dwellings, resolution: 100m, category: 2_Wohnungen (2) 
- Storing feat: building_dwellings, resolution: 100m, category: 3bis6_Wohnungen (3) 
- Storing feat: building_dwellings, resolution: 100m, category: 7bis12_Wohnungen (4) 
- Storing feat: building_dwellings, resolution: 100m, category: 13undmehr_Wohnungen (5) 
- Storing feat: building_size, resolution: 100m, category: FreiEFH (1) 
- Storing feat: building_size, resolution: 100m, category: EFH_DHH (2) 
- Storing feat: building_size, resolution: 100m, category: EFH_Reihenhaus (3) 
- Storing feat: building_size, resolution: 100m, category: Freist_ZFH (4) 
- Storing feat: building_size, resolution: 100m, category: ZFH_DHH (5) 
- Storing feat: building_size, resolution: 100m, category: ZFH_Reihenhaus (6) 
- Storing feat: building_size, resolution: 100m, category: MFH_3bis6Wohnungen (7) 
- Storing feat: building_size, resolution: 100m, category: MFH_7bis12Wohnungen (8) 
- Storing feat: building_size, resolution: 100m, category: MFH_13undmehrWohnungen (9) 
- Storing feat: building_size, resolution: 100m, category: AndererGebaeudetyp (10) 
- Storing feat: building_heat_type, resolution: 100m, category: Fernheizung (1) 
- Storing feat: building_heat_type, resolution: 100m, category: Etagenheizung (2) 
- Storing feat: building_heat_type, resolution: 100m, category: Blockheizung (3) 
- Storing feat: building_heat_type, resolution: 100m, category: Zentralheizung (4) 
- Storing feat: building_heat_type, resolution: 100m, category: Einzel_Mehrraumoefen (5) 
- Storing feat: building_heat_type, resolution: 100m, category: keine_Heizung (6) 
- Storing feat: building_heat_src, resolution: 100m, category: Gas (1) 
- Storing feat: building_heat_src, resolution: 100m, category: Heizoel (2) 
- Storing feat: building_heat_src, resolution: 100m, category: Holz_Holzpellets (3) 
- Storing feat: building_heat_src, resolution: 100m, category: Biomasse_Biogas (4) 
- Storing feat: building_heat_src, resolution: 100m, category: Solar_Geothermie_Waermepumpen (5) 
- Storing feat: building_heat_src, resolution: 100m, category: Strom (6) 
- Storing feat: building_heat_src, resolution: 100m, category: Kohle (7) 
- Storing feat: building_heat_src, resolution: 100m, category: Fernwaerme (8) 
- Storing feat: building_heat_src, resolution: 100m, category: kein_Energietraeger (9) 
